wallet,num_held
0x8e8954be3c8b724fcd532a0730fc9d5313bbd23a,200
0xbaa5853d6d4da05e57a4aa108de55dbe5c769545,173
0x07c2af75788814ba7e5225b2f5c951ed161cb589,121
0xe51f06eb0fac25646f793e9c043245148ef36056,111
0x1f0b28f7182e0a2be93507c2b83e0efa2c61dcfa,106
0x8c0ff426dfa77a87be3729456d1d27fdc8f2de5f,80
0xe052113bd7d7700d623414a0a4585bcae754e9d5,77
0x9ad85d7c0f7eff3d0718c3a3a032557558f7048b,71
0xd8b11e3093b6fc08b271d41e7f3dcaf02a66e6b7,65
0x443fad4c2ea59e9d24c083be0841cee1fbf6a85e,53
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,49
0x083cf6d6fcf2e42b47976c236f3d0d6f15423019,40
0x2f65b176b48c85c7a89ed509955817ee468fbff2,36
0x79758a8326b2ee06c7baf0f075f461367a0b8e32,36
0x7cbeab8adc6ce442b5640592134af57eef4bb5a5,35
0x7ee84e6fa0d1199a6527f4de8f0e26b8bdd93ef3,32
0x3460fb6fec6e51c4315e2e799b4f3e1810f75901,31
0x8edbcff3e9cbba5b4e584a1fe9f8663ca9936d91,30
0x6e3aa85db95bba36276a37ed93b12b7ab0782afb,30
0xc3023ff1771394c8a37f6d75fb0dc152112e74ab,29
0x14ce500a86f1e3ace039571e657783e069643617,29
0x4c1fbd894a1725e4397a7c3ed5be899f2ec5e9c2,29
0x813c55c753d3108b9ea2bd0ea77b33e664506e3c,27
0xa4407ecacc5f762eeee7eb7a425a8368fc68c0ce,26
0x02332a565a2940a6483d7db9ec5a5e8226870c59,25
0x6a42c6821013a7998cf42871a6efbd5d234b6d5b,25
0x38b6b4387ff2776678e2b42f5eb2af4a452177d7,25
0x4cc0b3e6f13a91b7c96a20d5b2451ee31d92e37d,23
0x34383a9f83c86eceb3748fb89fd9be2805c8b02c,23
0x2975083a05c8ab082e93c9d78fad9d8d8569bce2,23
0x3e099af007cab8233d44782d8e6fe80fecdc321e,23
